C:\LipidView Data\LV Results\200131_XtrIL_AMV_DAG_NL.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5
614.8	287.30	Positive	Confirmed and Common Results	IS DAG 34:0	(-FA 17:0)	3111875	3493625	3389500	1725750	900375
556.5	271.30	Positive	Confirmed and Common Results	DAG 30:1	(-FA 16:1)	40375	42250	32375	34250	6500
556.7	245.30	Positive	Confirmed and Common Results	DAG 30:1	(-FA 14:0)	29625	27875	20500	25750	0
558.6	245.30	Positive	Confirmed and Common Results	DAG 30:0	(-FA 14:0)	41000	31000	38000	42750	8875
558.8	273.30	Positive	Confirmed and Common Results	DAG 30:0	(-FA 16:0)	56375	51000	51875	0	0
582.7	271.30	Positive	Confirmed and Common Results	DAG 32:2	(-FA 16:1)	41750	33875	18125	11875	8750
584.7	245.30	Positive	Confirmed and Common Results	DAG 32:1	(-FA 14:0)	16375	20625	15750	13000	0
584.7	299.30	Positive	Confirmed and Common Results	DAG 32:1	(-FA 18:1)	70250	63500	46250	35625	11500
584.7	273.30	Positive	Confirmed and Common Results	DAG 32:1	(-FA 16:0)	110625	151250	176250	188000	27125
584.7	271.30	Positive	Confirmed and Common Results	DAG 32:1	(-FA 16:1)	54875	29375	32000	26500	8000
586.7	273.30	Positive	Confirmed and Common Results	DAG 32:0	(-FA 16:0)	284250	215375	186000	244375	44375
586.8	301.30	Positive	Confirmed and Common Results	DAG 32:0	(-FA 18:0)	23000	21000	31500	28125	6250
586.8	245.30	Positive	Confirmed and Common Results	DAG 32:0	(-FA 14:0)	29750	14250	13250	30875	0
610.7	245.30	Positive	Confirmed and Common Results	DAG 34:2	(-FA 14:0)	6125	4750	0	0	0
610.7	273.30	Positive	Confirmed and Common Results	DAG 34:2	(-FA 16:0)	15750	0	0	12000	13250
610.8	325.30	Positive	Confirmed and Common Results	DAG 34:2	(-FA 20:2)	28500	31125	36500	23625	8375
610.8	271.30	Positive	Confirmed and Common Results	DAG 34:2	(-FA 16:1)	30750	32875	30375	23625	9125
610.8	297.30	Positive	Confirmed and Common Results	DAG 34:2	(-FA 18:2)	25375	28375	11250	12500	6875
610.8	299.30	Positive	Confirmed and Common Results	DAG 34:2	(-FA 18:1)	362000	228375	172125	137875	39750
612.4	245.30	Positive	Confirmed and Common Results	DAG 34:1	(-FA 14:0)	10375	6625	6625	0	0
612.7	327.30	Positive	Confirmed and Common Results	DAG 34:1	(-FA 20:1)	33500	14000	18875	23500	24250
