C:\LipidView Data\LV Results\200131_XtrIL_AMV_Pos_PS_NL_QTRAP_LPC_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5
508.4	184.00	Positive	Confirmed and Common Results	IS LPC 17:1	(PC)	2799750	2593980.018	2728599.5077	1834125	1723867.0838
466.3	184.00	Positive	Confirmed and Common Results	LPC 14:1	(PC)	40584.5565	37182.6176	40847.1836	55817.195	26989.9977
468.4	184.00	Positive	Confirmed and Common Results	LPC 14:0	(PC)	278070.5027	261069.12	365319.2588	239463.6569	214682.8698
494.4	184.00	Positive	Confirmed and Common Results	LPC 16:1	(PC)	765494.5943	326752.6945	674921.9195	449355.4692	86202.488
496.4	184.00	Positive	Confirmed and Common Results	LPC 16:0	(PC)	867052.0215	728794.4225	760196.3461	620401.933	34699.9709
518.3	184.00	Positive	Confirmed and Common Results	LPC 18:3	(PC)	25765.0922	19552.8749	22092.7014	16189.2836	14919.3155
520.4	184.00	Positive	Confirmed and Common Results	LPC 18:2	(PC)	81264.6161	69984.9617	71102.8981	60847.3455	7475.9522
522.4	184.00	Positive	Confirmed and Common Results	LPC 18:1	(PC)	722800.056	604557.4777	645999.8619	612130.165	30601.0489
524.4	184.00	Positive	Confirmed and Common Results	LPC 18:0	(PC)	392083.0675	315245.7269	357791.1308	310144.2888	46626.4431
540.3	184.00	Positive	Confirmed and Common Results	LPC 20:6	(PC)	47712.2811	30637.345	45473.5556	33735.1166	15074.2496
542.4	184.00	Positive	Confirmed and Common Results	LPC 20:5	(PC)	123252.9157	91939.8453	73483.8087	107417.9066	17499.1849
544.4	184.00	Positive	Confirmed and Common Results	LPC 20:4	(PC)	76923.7273	62954.9454	141772.7726	159800.7771	16572.2346
546.4	184.00	Positive	Confirmed and Common Results	LPC 20:3	(PC)	25494.8208	35337.9506	61354.75	65297.4491	8049.6351
548.5	184.00	Positive	Confirmed and Common Results	LPC 20:2	(PC)	42217.4125	33981.3693	58252.0825	36680.3194	7000
550.4	184.00	Positive	Confirmed and Common Results	LPC 20:1	(PC)	158325.9613	144105.2406	184932.0152	151302.4418	10700.2027
552.4	184.00	Positive	Confirmed and Common Results	LPC 20:0	(PC)	161343.251	149034.4272	176951.1923	119975.5628	119482.3674
568.3	184.00	Positive	Confirmed and Common Results	LPC 22:6	(PC)	41711.598	42633.8386	94930.8504	79871.5379	16125
570.4	184.00	Positive	Confirmed and Common Results	LPC 22:5	(PC)	40240.1843	40073.6458	40729.435	47106.3071	11714.1168
572.4	184.00	Positive	Confirmed and Common Results	LPC 22:4	(PC)	58247.9172	50212.4264	120087.2567	103502.4324	7042.7466
574.5	184.00	Positive	Confirmed and Common Results	LPC 22:3	(PC)	102353.0187	68311.1976	140050.9397	111246.2039	26625
576.4	184.00	Positive	Confirmed and Common Results	LPC 22:2	(PC)	7705.3001	11810.325	20868.4509	22609.2417	9375
578.5	184.00	Positive	Confirmed and Common Results	LPC 22:1	(PC)	10660.9008	18517.7983	33380.1282	26893.931	3891.5928
