C:\LipidView Data\LV Results\200131_XtrIL_AMV_Pos_PS_NL_QTRAP_PC_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5
678.5	184.00	Positive	Confirmed and Common Results	IS PC 28:0	(SM/PC)	38969861.9376	39111000	42698250	31796258.3705	19951875
846.7	184.00	Positive	Confirmed and Common Results	IS PC 40:0	(SM/PC)	13412938.8307	13193250	11940940.5958	10640875	6986214.9574
874.7	184.00	Positive	Confirmed and Common Results	IS PC 42:0	(SM/PC)	12272464.9233	11954125	10595125	9570375	6211125
688.5	184.00	Positive	Confirmed and Common Results	PC O-30:2	(SM/PC)	32379.4698	22007.8081	45434.7482	32801.5785	0
690.5	184.00	Positive	Confirmed and Common Results	PC O-30:1	(SM/PC)	178064.0431	143887.2638	794358.1996	759020.1963	13875
692.5	184.00	Positive	Confirmed and Common Results	PC O-30:0	(SM/PC)	688504.3571	628800.7801	3312619.7022	2788409.9519	64035.1222
702.5	184.00	Positive	Confirmed and Common Results	PC 30:2	(SM/PC)	125724.6538	37680.5964	107476.9823	160860.2621	0
704.6	184.00	Positive	Confirmed and Common Results	PC 30:1	(SM/PC)	1648492.8846	1071692.3034	2267852.1279	2296403.7756	12518.6725
706.5	184.00	Positive	Confirmed and Common Results	PC 30:0	(SM/PC)	7687613.0526	6466503.3479	10914786.3146	11617911.439	65344.0539
716.5	184.00	Positive	Confirmed and Common Results	PC O-32:2	(SM/PC)	560201.6241	421223.4399	1182937.9648	1189836.8054	23571.1014
718.6	184.00	Positive	Confirmed and Common Results	PC O-32:1	(SM/PC)	2479401.3292	2351047.6103	7702325.1201	8032062.8921	0
720.6	184.00	Positive	Confirmed and Common Results	PC O-32:0	(SM/PC)	2818894.5022	2782414.6709	6393559.6683	6585692.2856	0
728.5	184.00	Positive	Confirmed and Common Results	PC 32:3	(SM/PC)	155938.0331	72787.0718	144106.9375	163771.6242	5635.338
730.6	184.00	Positive	Confirmed and Common Results	PC 32:2	(SM/PC)	2735088.1012	1569297.7373	2169255.1232	2348876.0143	9241.1396
732.6	184.00	Positive	Confirmed and Common Results	PC 32:1	(SM/PC)	29720718.7251	20341614.1529	21398142.0873	25456241.7426	6510.9156
734.6	184.00	Positive	Confirmed and Common Results	PC 32:0	(SM/PC)	12943391.8891	12137815.6817	15385189.9586	16733029.614	18438.5927
742.5	184.00	Positive	Confirmed and Common Results	PC O-34:3	(SM/PC)	253243.2434	210125.6057	388554.2647	436202.2852	5910.0252
