C:\LipidView Data\LV Results\200131_XtrIL_AMV_Pos_PS_NL_QTRAP_PE_Controls_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5
632.5	141.00	Positive	Confirmed and Common Results	IS PE 28:2	(-PE)	11174500	9716375	12466694.6162	7919299.7453	3700125
800.7	141.00	Positive	Confirmed and Common Results	IS PE 40:2	(-PE)	9128249.8403	7403805.0329	7130160.8807	7032533.5343	4644026.9258
856.7	141.00	Positive	Confirmed and Common Results	IS PE 44:2	(-PE)	5484250	4249750	4000365.8302	3861000	2377042.779
688.5	141.00	Positive	Confirmed and Common Results	PE 32:2	(-PE)	119718.286	83842.4328	143369.7929	110792.8675	6433.7675
690.6	141.00	Positive	Confirmed and Common Results	PE 32:1	(-PE)	1346741.473	856293.7307	550984.0025	571040.3626	0
700.5	141.00	Positive	Confirmed and Common Results	PE O-34:3	(-PE)	90125	51830.8841	60977.0804	73010.2183	5787.6676
702.6	141.00	Positive	Confirmed and Common Results	PE O-34:2	(-PE)	519374.4517	409884.2798	521709.4206	540560.8241	0
704.6	141.00	Positive	Confirmed and Common Results	PE O-34:1	(-PE)	408083.7407	309573.6767	274519.15	280546.3967	8857.469
716.5	141.00	Positive	Confirmed and Common Results	PE 34:2	(-PE)	2038839.2019	1271314.6429	1339599.8393	1406008.0026	0
718.6	141.00	Positive	Confirmed and Common Results	PE 34:1	(-PE)	8792971.0207	5987187.8578	3009748.373	3182649.9114	0
722.6	141.00	Positive	Confirmed and Common Results	PE O-36:6	(-PE)	99456.2014	85919.3265	56524.1885	56742.0919	11081.7352
724.6	141.00	Positive	Confirmed and Common Results	PE O-36:5	(-PE)	424419.8013	311897.3119	438444.4904	499097.9847	8591.1141
726.6	141.00	Positive	Confirmed and Common Results	PE O-36:4	(-PE)	161250.4052	128686.2762	154626.5542	175316.0924	0
728.6	141.00	Positive	Confirmed and Common Results	PE O-36:3	(-PE)	138388.1925	160128.2095	194133.5483	176183.4083	4908.7558
730.6	141.00	Positive	Confirmed and Common Results	PE O-36:2	(-PE)	407833.1002	355245.7197	382886.7428	358257.3136	7313.1022
732.6	141.00	Positive	Confirmed and Common Results	PE O-36:1	(-PE)	654993.5534	606735.9212	320667.2811	387395.1529	14652.8729
738.6	141.00	Positive	Confirmed and Common Results	PE 36:5	(-PE)	184027.2894	141231.6511	70060.7285	111386.6462	0
740.6	141.00	Positive	Confirmed and Common Results	PE 36:4	(-PE)	805742.9178	670122.5881	336896.7667	422462.2397	7013.6224
742.6	141.00	Positive	Confirmed and Common Results	PE 36:3	(-PE)	879606.5531	673944.6561	654898.5697	748219.5616	0
744.6	141.00	Positive	Confirmed and Common Results	PE 36:2	(-PE)	8318924.9473	6202283.0361	4762438.2616	5484335.8087	13875
746.6	141.00	Positive	Confirmed and Common Results	PE 36:1	(-PE)	8353175.5209	5332122.477	3458335.8967	4247776.6724	5151.2591
748.6	141.00	Positive	Confirmed and Common Results	PE 36:0	(-PE)	382472.0445	199423.6092	321232.1131	404857.8316	4516.6801
750.6	141.00	Positive	Confirmed and Common Results	PE O-38:6	(-PE)	617238.8096	326852.9673	362438.4458	452955.8786	4673.1285
752.6	141.00	Positive	Confirmed and Common Results	PE O-38:5	(-PE)	420784.5538	293665.2764	320927.1114	430181.3901	42250
754.6	141.00	Positive	Confirmed and Common Results	PE O-38:4	(-PE)	246018.4229	208680.3467	238168.0139	344007.8549	57067.2431
756.6	141.00	Positive	Confirmed and Common Results	PE O-38:3	(-PE)	139813.1985	140098.0113	167518.3435	157302.2358	1113.5553
758.6	141.00	Positive	Confirmed and Common Results	PE O-38:2	(-PE)	263941.7287	224528.7562	250847.1673	253458.796	7660.3138
760.6	141.00	Positive	Confirmed and Common Results	PE O-38:1	(-PE)	106674.6839	119605.6	94336.6191	110624.9732	11122.885
762.6	141.00	Positive	Confirmed and Common Results	PE O-38:0	(-PE)	87131.4653	61491.9147	76418.2354	120272.2054	13972.402
764.6	141.00	Positive	Confirmed and Common Results	PE 38:6	(-PE)	890835.3688	624496.5133	495363.8502	546116.2521	11250
766.6	141.00	Positive	Confirmed and Common Results	PE 38:5	(-PE)	1723239.0513	1308038.866	944491.5271	1274376.8063	0
768.6	141.00	Positive	Confirmed and Common Results	PE 38:4	(-PE)	2743044.2816	1796472.8222	2318440.2033	2807152.1245	6261.2741
770.6	141.00	Positive	Confirmed and Common Results	PE 38:3	(-PE)	1749116.7756	1283707.8416	1124535.4982	1287752.9385	6073.5264
772.6	141.00	Positive	Confirmed and Common Results	PE 38:2	(-PE)	751059.3026	625603.7951	702913.3354	729767.4444	8459.0656
774.6	141.00	Positive	Confirmed and Common Results	PE 38:1	(-PE)	213914.2118	190985.9171	259851.2629	280096.4088	0
776.6	141.00	Positive	Confirmed and Common Results	PE 38:0	(-PE)	162880.769	134634.7625	175110.7701	230756.0405	0
778.6	141.00	Positive	Confirmed and Common Results	PE O-40:6	(-PE)	196645.3281	147565.6975	198824.004	232972.564	3578.5024
780.6	141.00	Positive	Confirmed and Common Results	PE O-40:5	(-PE)	137825.043	100669.9778	128875.656	166556.3162	7533.782
