C:\LipidView Data\LV Results\200131_XtrIL_AMV_Pos_PS_NL_QTRAP_PS_Controls_deisotope_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5
676.4	185.00	Positive	Confirmed and Common Results	IS PS 28:2	(-PS)	8300287.7094	6834736.4288	8606357.2661	6093747.0154	3836500
844.6	185.00	Positive	Confirmed and Common Results	IS PS 40:2	(-PS)	4673708.3854	3717112.8112	4186213.8635	3692298.2647	2231000
900.7	185.00	Positive	Confirmed and Common Results	IS PS 44:2	(-PS)	1745353.9595	1318625	1524500	1339000	772500
730.4	185.00	Positive	Confirmed and Common Results	PS 32:3	(-PS)	0	11750	0	9436.7842	3617.8067
732.4	185.00	Positive	Confirmed and Common Results	PS 32:2	(-PS)	0	23473.1076	17162.5293	31469.4397	12814.6344
734.5	185.00	Positive	Confirmed and Common Results	PS 32:1	(-PS)	207652.7354	97828.7037	100699.2888	100706.8688	9635.1297
746.4	185.00	Positive	Confirmed and Common Results	PS O-34:2	(-PS)	7403.696	13750	15186.7034	0	6500
748.6	185.00	Positive	Confirmed and Common Results	PS O-34:1	(-PS)	57681.4492	58274.0289	61800.8539	76479.0884	5760.9106
760.6	185.00	Positive	Confirmed and Common Results	PS 34:2	(-PS)	167843.2291	98110.8989	127250	117960.4554	11557.5577
762.6	185.00	Positive	Confirmed and Common Results	PS 34:1	(-PS)	2096532.9613	1507748.584	1165606.9753	1185187.8741	0
764.6	185.00	Positive	Confirmed and Common Results	PS 34:0	(-PS)	306684.0278	158946.4438	243940.1946	208644.8954	5431.2587
774.6	185.00	Positive	Confirmed and Common Results	PS O-36:2	(-PS)	65616.6486	39498.8003	71635.6717	55572.2418	11333.04
776.6	185.00	Positive	Confirmed and Common Results	PS O-36:1	(-PS)	278151.9519	214716.8158	239148.7796	266767.8189	0
784.6	185.00	Positive	Confirmed and Common Results	PS 36:4	(-PS)	0	44875	29138.2857	37638.873	4375
786.5	185.00	Positive	Confirmed and Common Results	PS 36:3	(-PS)	87025.2562	65711.1255	66327.4989	79078.3177	12375
788.6	185.00	Positive	Confirmed and Common Results	PS 36:2	(-PS)	981076.1739	657123.3594	828987.0473	884490.7465	4318.3532
790.6	185.00	Positive	Confirmed and Common Results	PS 36:1	(-PS)	5927195.8042	4100891.3945	4061724.7736	4682473.0423	11460.6141
792.6	185.00	Positive	Confirmed and Common Results	PS 36:0	(-PS)	0	29443.7001	0	0	4225.3141
800.6	185.00	Positive	Confirmed and Common Results	PS O-38:3	(-PS)	25865.7946	11442.3316	13407.9053	36777.8181	0
