C:\LipidView Data\LV Results\200131_XtrIL_AMV_TAG_NL.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5
771.6	245.30	Positive	Confirmed and Common Results	IS D5-TAG 14:0/16:1/14:0 	(14:0)(-FA 14:0 (NH4))	3638625	4319875	5123500	4136625	3304750
771.6	271.30	Positive	Confirmed and Common Results	IS D5-TAG 14:0/16:1/14:0 	(16:1)(-FA 16:1 (NH4))	1210125	1688250	1688750	1374750	1145250
827.7	259.30	Positive	Confirmed and Common Results	IS D5-TAG 15:0/18:1/15:0 	(15:0)(-FA 15:0 (NH4))	3427250	5573500	5224750	3976250	3128875
827.7	299.30	Positive	Confirmed and Common Results	IS D5-TAG 15:0/18:1/15:0 	(18:1)(-FA 18:1 (NH4))	1120250	1765500	1752875	1521375	1116500
857.7	273.30	Positive	Confirmed and Common Results	IS D5-TAG 16:0/18:0/16:0 	(16:0)(-FA 16:0 (NH4))	2787125	3946625	4062875	3382125	2571000
857.7	301.30	Positive	Confirmed and Common Results	IS D5-TAG 16:0/18:0/16:0 	(18:0)(-FA 18:0 (NH4))	863625	1169625	1318875	978875	815875
858.0	217.30	Positive	Confirmed and Common Results	IS D5-TAG 19:0/12:0/19:0 	(12:0)(-FA 12:0 (NH4))	645375	960875	986000	774375	600000
857.7	315.30	Positive	Confirmed and Common Results	IS D5-TAG 19:0/12:0/19:0 	(19:0)(-FA 19:0 (NH4))	2777125	4377000	4130250	3356625	2808125
869.7	285.30	Positive	Confirmed and Common Results	IS D5-TAG 17:0/17:1/17:0 	(17:1)(-FA 17:1 (NH4))	987000	1403625	1406625	1060875	795500
869.7	287.30	Positive	Confirmed and Common Results	IS D5-TAG 17:0/17:1/17:0 	(17:0)(-FA 17:0 (NH4))	3282750	4505875	4411750	3990500	2719875
949.8	297.30	Positive	Confirmed and Common Results	IS D5-TAG 20:4/18:2/20:4 	(18:2)(-FA 18:2 (NH4))	47375	56750	69750	72125	31750
949.8	321.30	Positive	Confirmed and Common Results	IS D5-TAG 20:4/18:2/20:4 	(20:4)(-FA 20:3 (NH4))	548500	909250	884875	823250	477000
955.8	295.30	Positive	Confirmed and Common Results	IS D5-TAG 20:2/18:3/20:2 	(18:3)(-FA 18:3 (NH4))	355750	557500	605375	518625	313500
955.8	325.30	Positive	Confirmed and Common Results	IS D5-TAG 20:2/18:3/20:2 	(20:2)(-FA 20:2 (NH4))	515125	746500	808500	659250	416250
993.9	319.30	Positive	Confirmed and Common Results	IS D5-TAG 20:5/22:6/20:5 	(20:5)(-FA 20:5 (NH4))	236250	340625	342250	299375	165875
993.9	345.30	Positive	Confirmed and Common Results	IS D5-TAG 20:5/22:6/20:5 	(22:6)(-FA 22:6 (NH4))	69125	113375	130875	100375	51750
996.0	329.30	Positive	Confirmed and Common Results	IS D5-TAG 20:0/20:1/20:0 	(20:0)(-FA 20:0 (NH4))	803625	1226250	1282625	1061875	740125
996.0	327.30	Positive	Confirmed and Common Results	IS D5-TAG 20:0/20:1/20:0 	(20:0)(-FA 20:1 (NH4))	192875	320875	375375	259875	201875
768.6	217.30	Positive	Confirmed and Common Results	TAG 44:0+NH4	(-FA 12:0 (NH4))	10375	13375	16250	14250	15000
768.6	245.30	Positive	Confirmed and Common Results	TAG 44:0+NH4	(-FA 14:0 (NH4))	24625	42625	39750	63125	32000
768.6	273.30	Positive	Confirmed and Common Results	TAG 44:0+NH4	(-FA 16:0 (NH4))	37500	35000	56375	51500	20750
768.6	301.30	Positive	Confirmed and Common Results	TAG 44:0+NH4	(-FA 18:0 (NH4))	8500	12000	9125	10375	7500
766.8	217.30	Positive	Confirmed and Common Results	TAG 44:1+NH4	(-FA 12:0 (NH4))	4000	6250	14250	11125	8250
766.8	245.30	Positive	Confirmed and Common Results	TAG 44:1+NH4	(-FA 14:0 (NH4))	16500	12625	23875	25125	17625
766.8	271.30	Positive	Confirmed and Common Results	TAG 44:1+NH4	(-FA 16:1 (NH4))	27000	30250	17000	24625	22000
766.8	273.30	Positive	Confirmed and Common Results	TAG 44:1+NH4	(-FA 16:0 (NH4))	12500	12125	14250	24625	10750
766.8	299.30	Positive	Confirmed and Common Results	TAG 44:1+NH4	(-FA 18:1 (NH4))	9625	14875	12125	7625	8250
782.8	217.30	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 12:0 (NH4))	3500	5625	0	9000	0
782.8	245.30	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 14:0 (NH4))	30000	39000	48625	43875	31500
782.8	259.30	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 15:0 (NH4))	29375	55875	47125	58875	31125
782.8	273.30	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 16:0 (NH4))	46375	39875	59500	66625	42875
782.8	287.30	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 17:0 (NH4))	35375	24375	23000	40750	23750
782.8	315.30	Positive	Confirmed and Common Results	TAG 45:0+NH4	(-FA 19:0 (NH4))	45875	60500	58625	43125	4375
796.8	217.30	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 12:0 (NH4))	0	0	10375	8000	7500
796.8	245.30	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 14:0 (NH4))	44625	50875	64500	86875	33500
796.8	259.30	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 15:0 (NH4))	29625	37250	33500	51250	17000
796.8	273.30	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 16:0 (NH4))	71625	128500	119500	122375	74250
796.8	287.30	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 17:0 (NH4))	12000	10500	17625	30250	0
796.8	301.30	Positive	Confirmed and Common Results	TAG 46:0+NH4	(-FA 18:0 (NH4))	9750	8250	14250	11500	8500
794.7	217.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 12:0 (NH4))	8500	9125	9000	0	6125
794.7	245.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 14:0 (NH4))	36250	34500	49250	49500	20375
794.7	259.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 15:0 (NH4))	15000	17625	16000	26875	14750
794.7	271.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 16:1 (NH4))	44375	44750	61875	72125	42500
794.7	273.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 16:0 (NH4))	31125	53875	38750	60125	25250
794.7	299.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 18:1 (NH4))	14875	18625	20000	29125	18000
794.7	301.30	Positive	Confirmed and Common Results	TAG 46:1+NH4	(-FA 18:0 (NH4))	10000	6000	9625	11000	4125
792.8	217.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 12:0 (NH4))	0	6625	0	0	3500
792.8	245.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 14:0 (NH4))	10500	16500	12375	14375	12750
792.8	259.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 15:0 (NH4))	0	0	0	6000	9875
792.8	271.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 16:1 (NH4))	23000	27500	48750	44625	30250
792.8	273.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 16:0 (NH4))	6375	9750	6375	13625	6250
792.8	297.30	Positive	Confirmed and Common Results	TAG 46:2+NH4	(-FA 18:2 (NH4))	0	7375	7625	8000	0
810.8	245.30	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 14:0 (NH4))	11000	17500	19625	34000	10750
810.8	259.30	Positive	Confirmed and Common Results	TAG 47:0+NH4	(-FA 15:0 (NH4))	41000	55500	76250	60125	31250
